Beginning classifier!
loading baseline...
507
507 8190 507 2
torch.Size([507, 8190]) torch.Size([507, 2])
Predicted tensor([0.3910, 0.6085]) Actual tensor([0., 1.])
Predicted tensor([0.9165, 0.0832]) Actual tensor([1., 0.])
Predicted tensor([ 1.2693, -0.2692]) Actual tensor([1., 0.])
Predicted tensor([0.3842, 0.6161]) Actual tensor([0., 1.])
Predicted tensor([ 1.2286, -0.2288]) Actual tensor([1., 0.])
Predicted tensor([0.1308, 0.8691]) Actual tensor([0., 1.])
Predicted tensor([0.1984, 0.8016]) Actual tensor([0., 1.])
Predicted tensor([0.6384, 0.3630]) Actual tensor([1., 0.])
Predicted tensor([0.3941, 0.6058]) Actual tensor([0., 1.])
Predicted tensor([0.3559, 0.6438]) Actual tensor([1., 0.])
Predicted tensor([0.0746, 0.9259]) Actual tensor([0., 1.])
Predicted tensor([0.9273, 0.0722]) Actual tensor([1., 0.])
Predicted tensor([0.2096, 0.7904]) Actual tensor([0., 1.])
Predicted tensor([0.0470, 0.9748]) Actual tensor([0., 1.])
Predicted tensor([9.9916e-01, 6.3020e-04]) Actual tensor([1., 0.])
Predicted tensor([0.3529, 0.6471]) Actual tensor([0., 1.])
Predicted tensor([0.1841, 0.8150]) Actual tensor([0., 1.])
Predicted tensor([0.8039, 0.1959]) Actual tensor([1., 0.])
Predicted tensor([-0.0395,  1.0395]) Actual tensor([0., 1.])
Predicted tensor([0.5579, 0.4417]) Actual tensor([1., 0.])
Predicted tensor([-0.2080,  1.2070]) Actual tensor([0., 1.])
Predicted tensor([0.0943, 0.9060]) Actual tensor([0., 1.])
Predicted tensor([0.5022, 0.4977]) Actual tensor([1., 0.])
Predicted tensor([0.8027, 0.1980]) Actual tensor([1., 0.])
Predicted tensor([0.3320, 0.6670]) Actual tensor([0., 1.])
Predicted tensor([0.3187, 0.6812]) Actual tensor([1., 0.])
Predicted tensor([0.3035, 0.6963]) Actual tensor([0., 1.])
Predicted tensor([0.1987, 0.8012]) Actual tensor([0., 1.])
Predicted tensor([ 1.0320, -0.0318]) Actual tensor([1., 0.])
Predicted tensor([0.6180, 0.3811]) Actual tensor([1., 0.])
Predicted tensor([0.4003, 0.5992]) Actual tensor([0., 1.])
Predicted tensor([0.1229, 0.8758]) Actual tensor([0., 1.])
Predicted tensor([0.7942, 0.2058]) Actual tensor([1., 0.])
Predicted tensor([-0.1616,  1.1621]) Actual tensor([0., 1.])
Predicted tensor([0.4820, 0.5182]) Actual tensor([0., 1.])
Predicted tensor([-0.1228,  1.1220]) Actual tensor([0., 1.])
Predicted tensor([0.8402, 0.1593]) Actual tensor([1., 0.])
Predicted tensor([0.8062, 0.1936]) Actual tensor([1., 0.])
Predicted tensor([0.4557, 0.5447]) Actual tensor([1., 0.])
Predicted tensor([0.1755, 0.8244]) Actual tensor([0., 1.])
Predicted tensor([0.6558, 0.3439]) Actual tensor([1., 0.])
Predicted tensor([0.1781, 0.8227]) Actual tensor([0., 1.])
Predicted tensor([0.5072, 0.4920]) Actual tensor([1., 0.])
Predicted tensor([0.0691, 0.9304]) Actual tensor([0., 1.])
Predicted tensor([0.3477, 0.6521]) Actual tensor([0., 1.])
Predicted tensor([0.7067, 0.2932]) Actual tensor([1., 0.])
Predicted tensor([ 1.0250, -0.0253]) Actual tensor([1., 0.])
Predicted tensor([0.8368, 0.1632]) Actual tensor([1., 0.])
Predicted tensor([0.5974, 0.4020]) Actual tensor([1., 0.])
Predicted tensor([0.7329, 0.2672]) Actual tensor([1., 0.])
Predicted tensor([ 1.0366, -0.0365]) Actual tensor([1., 0.])
Predicted tensor([0.1346, 0.8653]) Actual tensor([0., 1.])
Predicted tensor([0.2608, 0.7386]) Actual tensor([0., 1.])
Predicted tensor([0.6571, 0.3434]) Actual tensor([1., 0.])
Predicted tensor([0.2566, 0.7436]) Actual tensor([0., 1.])
Predicted tensor([0.3808, 0.6196]) Actual tensor([0., 1.])
Predicted tensor([0.1890, 0.8101]) Actual tensor([1., 0.])
Predicted tensor([0.6744, 0.3253]) Actual tensor([0., 1.])
Predicted tensor([0.1206, 0.8789]) Actual tensor([0., 1.])
Predicted tensor([0.8616, 0.1384]) Actual tensor([1., 0.])
Predicted tensor([0.1798, 0.8206]) Actual tensor([1., 0.])
Predicted tensor([0.6130, 0.3874]) Actual tensor([1., 0.])
Predicted tensor([0.9057, 0.0941]) Actual tensor([1., 0.])
Predicted tensor([0.8799, 0.1201]) Actual tensor([1., 0.])
Predicted tensor([0.0421, 0.9575]) Actual tensor([0., 1.])
Predicted tensor([0.6678, 0.3319]) Actual tensor([1., 0.])
Predicted tensor([0.2846, 0.7150]) Actual tensor([1., 0.])
Predicted tensor([0.7708, 0.2286]) Actual tensor([1., 0.])
Predicted tensor([0.1369, 0.8628]) Actual tensor([0., 1.])
Predicted tensor([0.1090, 0.8914]) Actual tensor([0., 1.])
Predicted tensor([0.4287, 0.5706]) Actual tensor([0., 1.])
Predicted tensor([0.3063, 0.6930]) Actual tensor([0., 1.])
Predicted tensor([0.8175, 0.1822]) Actual tensor([1., 0.])
Predicted tensor([0.6863, 0.3133]) Actual tensor([1., 0.])
Predicted tensor([0.0025, 0.9965]) Actual tensor([0., 1.])
Predicted tensor([0.5030, 0.4965]) Actual tensor([1., 0.])
Predicted tensor([0.0140, 0.9856]) Actual tensor([0., 1.])
Predicted tensor([0.5093, 0.4909]) Actual tensor([0., 1.])
Predicted tensor([0.3176, 0.6814]) Actual tensor([0., 1.])
Predicted tensor([0.2663, 0.7339]) Actual tensor([0., 1.])
Predicted tensor([0.1582, 0.8417]) Actual tensor([0., 1.])
Predicted tensor([0.6196, 0.3807]) Actual tensor([1., 0.])
Predicted tensor([0.2670, 0.7324]) Actual tensor([0., 1.])
Predicted tensor([0.1351, 0.8644]) Actual tensor([0., 1.])
Predicted tensor([0.7896, 0.2103]) Actual tensor([1., 0.])
Predicted tensor([0.7754, 0.2244]) Actual tensor([1., 0.])
Predicted tensor([ 1.0078, -0.0075]) Actual tensor([1., 0.])
Predicted tensor([0.9840, 0.0159]) Actual tensor([0., 1.])
Predicted tensor([0.1115, 0.8879]) Actual tensor([1., 0.])
Predicted tensor([0.3382, 0.6611]) Actual tensor([0., 1.])
Predicted tensor([0.3114, 0.6885]) Actual tensor([0., 1.])
Predicted tensor([0.2620, 0.7380]) Actual tensor([0., 1.])
Predicted tensor([ 1.0735, -0.0738]) Actual tensor([1., 0.])
Predicted tensor([ 1.0804, -0.0805]) Actual tensor([1., 0.])
Predicted tensor([0.8956, 0.1041]) Actual tensor([1., 0.])
Predicted tensor([0.3402, 0.6593]) Actual tensor([0., 1.])
Predicted tensor([0.3960, 0.6065]) Actual tensor([0., 1.])
Predicted tensor([0.0654, 0.9339]) Actual tensor([0., 1.])
Predicted tensor([ 1.0272, -0.0269]) Actual tensor([1., 0.])
Predicted tensor([0.0146, 0.9850]) Actual tensor([0., 1.])
Predicted tensor([0.2309, 0.7685]) Actual tensor([0., 1.])
Predicted tensor([0.8371, 0.1621]) Actual tensor([1., 0.])
Predicted tensor([0.3993, 0.6004]) Actual tensor([0., 1.])
Predicted tensor([0.9585, 0.0417]) Actual tensor([1., 0.])
Predicted tensor([0.5608, 0.4391]) Actual tensor([1., 0.])
Predicted tensor([0.5135, 0.4873]) Actual tensor([1., 0.])
Predicted tensor([0.1896, 0.8104]) Actual tensor([0., 1.])
Predicted tensor([ 1.1528, -0.1526]) Actual tensor([1., 0.])
Predicted tensor([0.6788, 0.3208]) Actual tensor([0., 1.])
Predicted tensor([0.2639, 0.7366]) Actual tensor([0., 1.])
Predicted tensor([0.2703, 0.7294]) Actual tensor([0., 1.])
Predicted tensor([0.4820, 0.5181]) Actual tensor([0., 1.])
Predicted tensor([0.7003, 0.2996]) Actual tensor([1., 0.])
Predicted tensor([0.9010, 0.0996]) Actual tensor([1., 0.])
Predicted tensor([0.1424, 0.8581]) Actual tensor([0., 1.])
Predicted tensor([0.8612, 0.1386]) Actual tensor([1., 0.])
Predicted tensor([0.0659, 0.9331]) Actual tensor([0., 1.])
Predicted tensor([ 1.0236, -0.0235]) Actual tensor([1., 0.])
Predicted tensor([0.7635, 0.2360]) Actual tensor([1., 0.])
Predicted tensor([0.7804, 0.2197]) Actual tensor([0., 1.])
Predicted tensor([-0.0081,  1.0072]) Actual tensor([0., 1.])
Predicted tensor([0.9895, 0.0107]) Actual tensor([1., 0.])
Predicted tensor([0.6373, 0.3619]) Actual tensor([1., 0.])
Predicted tensor([0.9184, 0.0819]) Actual tensor([1., 0.])
Predicted tensor([0.4930, 0.5071]) Actual tensor([0., 1.])
Predicted tensor([0.6858, 0.3146]) Actual tensor([1., 0.])
Predicted tensor([0.1367, 0.8621]) Actual tensor([0., 1.])
Predicted tensor([0.1530, 0.8469]) Actual tensor([0., 1.])
Predicted tensor([0.8933, 0.1068]) Actual tensor([1., 0.])
Predicted tensor([0.8482, 0.1518]) Actual tensor([1., 0.])
Predicted tensor([0.0705, 0.9287]) Actual tensor([0., 1.])
Predicted tensor([0.2431, 0.7577]) Actual tensor([0., 1.])
Predicted tensor([0.2763, 0.7219]) Actual tensor([0., 1.])
Predicted tensor([0.4959, 0.5035]) Actual tensor([1., 0.])
Predicted tensor([ 1.0980, -0.0981]) Actual tensor([1., 0.])
Predicted tensor([0.6450, 0.3549]) Actual tensor([1., 0.])
Predicted tensor([0.0958, 0.9039]) Actual tensor([0., 1.])
Predicted tensor([0.3181, 0.6816]) Actual tensor([0., 1.])
Predicted tensor([0.9146, 0.0854]) Actual tensor([1., 0.])
Predicted tensor([0.1406, 0.8590]) Actual tensor([0., 1.])
Predicted tensor([ 1.0293, -0.0296]) Actual tensor([1., 0.])
Predicted tensor([9.4101e-04, 9.9798e-01]) Actual tensor([0., 1.])
Predicted tensor([0.1213, 0.8781]) Actual tensor([0., 1.])
Predicted tensor([0.8514, 0.1490]) Actual tensor([1., 0.])
Predicted tensor([0.5828, 0.4165]) Actual tensor([1., 0.])
Predicted tensor([0.6223, 0.3782]) Actual tensor([0., 1.])
Predicted tensor([0.1398, 0.8596]) Actual tensor([0., 1.])
Predicted tensor([0.9989, 0.0011]) Actual tensor([1., 0.])
Predicted tensor([0.0444, 0.9558]) Actual tensor([0., 1.])
Predicted tensor([ 1.0217, -0.0222]) Actual tensor([1., 0.])
Predicted tensor([0.7776, 0.2220]) Actual tensor([1., 0.])
Predicted tensor([0.5528, 0.4476]) Actual tensor([0., 1.])
Predicted tensor([0.6108, 0.3896]) Actual tensor([1., 0.])
Predicted tensor([ 1.1311, -0.1314]) Actual tensor([1., 0.])
Predicted tensor([0.6049, 0.3947]) Actual tensor([0., 1.])
Predicted tensor([0.2406, 0.7594]) Actual tensor([0., 1.])
Predicted tensor([-0.2610,  1.2593]) Actual tensor([0., 1.])
Predicted tensor([ 1.1322, -0.1320]) Actual tensor([1., 0.])
Predicted tensor([0.2612, 0.7383]) Actual tensor([0., 1.])
Predicted tensor([0.2071, 0.8048]) Actual tensor([1., 0.])
Predicted tensor([0.6588, 0.3410]) Actual tensor([1., 0.])
Predicted tensor([0.4555, 0.5442]) Actual tensor([1., 0.])
Predicted tensor([0.6393, 0.3609]) Actual tensor([1., 0.])
Predicted tensor([0.1539, 0.8456]) Actual tensor([0., 1.])
Predicted tensor([0.0279, 0.9722]) Actual tensor([1., 0.])
Predicted tensor([0.0191, 0.9796]) Actual tensor([0., 1.])
Predicted tensor([0.2623, 0.7372]) Actual tensor([0., 1.])
Predicted tensor([0.5388, 0.4610]) Actual tensor([0., 1.])
Predicted tensor([0.5343, 0.4650]) Actual tensor([1., 0.])
Predicted tensor([0.1988, 0.8007]) Actual tensor([0., 1.])
Predicted tensor([0.7288, 0.2701]) Actual tensor([1., 0.])
Predicted tensor([0.8203, 0.1791]) Actual tensor([1., 0.])
Predicted tensor([0.5728, 0.4266]) Actual tensor([1., 0.])
Predicted tensor([-0.1395,  1.1388]) Actual tensor([1., 0.])
Predicted tensor([0.6297, 0.3699]) Actual tensor([1., 0.])
Predicted tensor([0.3211, 0.6790]) Actual tensor([0., 1.])
Predicted tensor([0.3975, 0.6024]) Actual tensor([0., 1.])
Predicted tensor([0.5577, 0.4418]) Actual tensor([0., 1.])
Predicted tensor([0.2333, 0.7674]) Actual tensor([0., 1.])
Predicted tensor([0.9827, 0.0175]) Actual tensor([1., 0.])
Predicted tensor([ 1.0276, -0.0282]) Actual tensor([1., 0.])
Predicted tensor([0.6964, 0.3031]) Actual tensor([1., 0.])
Predicted tensor([0.9016, 0.0983]) Actual tensor([1., 0.])
Predicted tensor([0.4541, 0.5454]) Actual tensor([1., 0.])
Predicted tensor([ 1.0166, -0.0165]) Actual tensor([1., 0.])
Predicted tensor([0.2668, 0.7332]) Actual tensor([1., 0.])
Predicted tensor([0.6362, 0.3643]) Actual tensor([1., 0.])
Predicted tensor([0.7823, 0.2176]) Actual tensor([1., 0.])
Predicted tensor([0.2743, 0.7251]) Actual tensor([0., 1.])
Predicted tensor([0.0143, 0.9849]) Actual tensor([0., 1.])
Predicted tensor([-0.0190,  1.0187]) Actual tensor([0., 1.])
Predicted tensor([0.1056, 0.8937]) Actual tensor([0., 1.])
Predicted tensor([0.3038, 0.6962]) Actual tensor([0., 1.])
Predicted tensor([0.1445, 0.8547]) Actual tensor([0., 1.])
Predicted tensor([0.3703, 0.6295]) Actual tensor([0., 1.])
Predicted tensor([0.8732, 0.1264]) Actual tensor([1., 0.])
Predicted tensor([0.1116, 0.8883]) Actual tensor([0., 1.])
Predicted tensor([0.7065, 0.2934]) Actual tensor([1., 0.])
Predicted tensor([0.6855, 0.3148]) Actual tensor([1., 0.])
Predicted tensor([0.8778, 0.1223]) Actual tensor([1., 0.])
Predicted tensor([0.1739, 0.8262]) Actual tensor([0., 1.])
Predicted tensor([0.3583, 0.6407]) Actual tensor([1., 0.])
Predicted tensor([ 1.0131, -0.0130]) Actual tensor([1., 0.])
Predicted tensor([-0.0527,  1.0505]) Actual tensor([0., 1.])
Predicted tensor([0.8719, 0.1280]) Actual tensor([1., 0.])
Predicted tensor([-0.0486,  1.0477]) Actual tensor([0., 1.])
Predicted tensor([-0.1560,  1.1557]) Actual tensor([0., 1.])
Predicted tensor([0.0621, 0.9366]) Actual tensor([0., 1.])
Predicted tensor([0.3863, 0.6132]) Actual tensor([0., 1.])
Predicted tensor([0.7706, 0.2285]) Actual tensor([1., 0.])
Predicted tensor([0.8093, 0.1903]) Actual tensor([0., 1.])
Predicted tensor([0.7034, 0.2969]) Actual tensor([1., 0.])
Predicted tensor([0.8736, 0.1263]) Actual tensor([1., 0.])
Predicted tensor([-0.1555,  1.1549]) Actual tensor([0., 1.])
Predicted tensor([0.0910, 0.9081]) Actual tensor([0., 1.])
Predicted tensor([0.1345, 0.8649]) Actual tensor([0., 1.])
Predicted tensor([0.6490, 0.3501]) Actual tensor([1., 0.])
Predicted tensor([0.6950, 0.3049]) Actual tensor([1., 0.])
Predicted tensor([0.4734, 0.5264]) Actual tensor([1., 0.])
Predicted tensor([ 1.2541, -0.2541]) Actual tensor([1., 0.])
Predicted tensor([0.6468, 0.3524]) Actual tensor([1., 0.])
Predicted tensor([0.5622, 0.4374]) Actual tensor([0., 1.])
Predicted tensor([0.9680, 0.0322]) Actual tensor([1., 0.])
Predicted tensor([0.2718, 0.7275]) Actual tensor([0., 1.])
Predicted tensor([0.6066, 0.3930]) Actual tensor([1., 0.])
Predicted tensor([0.6491, 0.3510]) Actual tensor([1., 0.])
Predicted tensor([ 1.3796, -0.3792]) Actual tensor([1., 0.])
Predicted tensor([0.6572, 0.3433]) Actual tensor([1., 0.])
Predicted tensor([0.5847, 0.4152]) Actual tensor([0., 1.])
Predicted tensor([0.1135, 0.8863]) Actual tensor([0., 1.])
Predicted tensor([0.9854, 0.0147]) Actual tensor([1., 0.])
Predicted tensor([0.2490, 0.7510]) Actual tensor([0., 1.])
Predicted tensor([0.4056, 0.5944]) Actual tensor([0., 1.])
Predicted tensor([ 1.0076, -0.0076]) Actual tensor([1., 0.])
Predicted tensor([0.9311, 0.0687]) Actual tensor([1., 0.])
Predicted tensor([0.9512, 0.0490]) Actual tensor([1., 0.])
Predicted tensor([0.9657, 0.0347]) Actual tensor([1., 0.])
Predicted tensor([0.8810, 0.1188]) Actual tensor([1., 0.])
Predicted tensor([ 1.1102, -0.1102]) Actual tensor([1., 0.])
Predicted tensor([0.1721, 0.8268]) Actual tensor([0., 1.])
Predicted tensor([0.4619, 0.5378]) Actual tensor([0., 1.])
Predicted tensor([0.0059, 0.9944]) Actual tensor([0., 1.])
Predicted tensor([0.1885, 0.8115]) Actual tensor([0., 1.])
Predicted tensor([0.3642, 0.6346]) Actual tensor([1., 0.])
Predicted tensor([0.4076, 0.5921]) Actual tensor([0., 1.])
Predicted tensor([0.5887, 0.4110]) Actual tensor([0., 1.])
Predicted tensor([0.7919, 0.2083]) Actual tensor([1., 0.])
Predicted tensor([0.0236, 0.9762]) Actual tensor([0., 1.])
Predicted tensor([0.5054, 0.4951]) Actual tensor([1., 0.])
Predicted tensor([0.7300, 0.2702]) Actual tensor([1., 0.])
Predicted tensor([0.0960, 0.9039]) Actual tensor([1., 0.])
Predicted tensor([0.7085, 0.2915]) Actual tensor([1., 0.])
Predicted tensor([0.3653, 0.6342]) Actual tensor([0., 1.])
Predicted tensor([0.0375, 0.9615]) Actual tensor([0., 1.])
Predicted tensor([ 1.0376, -0.0376]) Actual tensor([1., 0.])
Predicted tensor([0.1576, 0.8424]) Actual tensor([0., 1.])
Predicted tensor([0.0144, 1.0083]) Actual tensor([0., 1.])
Predicted tensor([0.9796, 0.0204]) Actual tensor([0., 1.])
Predicted tensor([0.2569, 0.7426]) Actual tensor([0., 1.])
Predicted tensor([0.6899, 0.3098]) Actual tensor([1., 0.])
Predicted tensor([0.4082, 0.5912]) Actual tensor([0., 1.])
Predicted tensor([0.3220, 0.6776]) Actual tensor([0., 1.])
Predicted tensor([0.6927, 0.3069]) Actual tensor([1., 0.])
Predicted tensor([0.4380, 0.5625]) Actual tensor([1., 0.])
Predicted tensor([0.0109, 0.9891]) Actual tensor([0., 1.])
Predicted tensor([0.5114, 0.4886]) Actual tensor([1., 0.])
Predicted tensor([0.0784, 0.9206]) Actual tensor([0., 1.])
Predicted tensor([0.4416, 0.5576]) Actual tensor([0., 1.])
Predicted tensor([-0.0407,  1.0407]) Actual tensor([0., 1.])
Predicted tensor([0.3709, 0.6288]) Actual tensor([0., 1.])
Predicted tensor([ 1.0804, -0.0805]) Actual tensor([1., 0.])
Predicted tensor([0.2771, 0.7229]) Actual tensor([0., 1.])
Predicted tensor([-0.0152,  1.0153]) Actual tensor([0., 1.])
Predicted tensor([0.3486, 0.6507]) Actual tensor([0., 1.])
Predicted tensor([0.8982, 0.1022]) Actual tensor([1., 0.])
Predicted tensor([0.8788, 0.1215]) Actual tensor([1., 0.])
Predicted tensor([0.6967, 0.3032]) Actual tensor([1., 0.])
Predicted tensor([0.5828, 0.4171]) Actual tensor([1., 0.])
Predicted tensor([0.7291, 0.2709]) Actual tensor([1., 0.])
Predicted tensor([0.7295, 0.2702]) Actual tensor([1., 0.])
Predicted tensor([0.9547, 0.0454]) Actual tensor([1., 0.])
Predicted tensor([ 1.0273, -0.0262]) Actual tensor([0., 1.])
Predicted tensor([-0.0361,  1.0365]) Actual tensor([0., 1.])
Predicted tensor([0.2815, 0.7179]) Actual tensor([0., 1.])
Predicted tensor([0.7446, 0.2550]) Actual tensor([1., 0.])
Predicted tensor([0.7477, 0.2520]) Actual tensor([1., 0.])
Predicted tensor([0.4349, 0.5648]) Actual tensor([0., 1.])
Predicted tensor([0.5720, 0.4279]) Actual tensor([0., 1.])
Predicted tensor([0.1503, 0.8487]) Actual tensor([0., 1.])
Predicted tensor([0.4404, 0.5594]) Actual tensor([0., 1.])
Predicted tensor([0.4079, 0.5919]) Actual tensor([1., 0.])
Predicted tensor([0.1072, 0.8924]) Actual tensor([0., 1.])
Predicted tensor([0.3055, 0.6933]) Actual tensor([1., 0.])
Predicted tensor([0.6739, 0.3262]) Actual tensor([1., 0.])
Predicted tensor([0.7068, 0.2931]) Actual tensor([1., 0.])
Predicted tensor([0.3864, 0.6139]) Actual tensor([1., 0.])
Predicted tensor([0.1218, 0.8783]) Actual tensor([0., 1.])
Predicted tensor([0.5628, 0.4372]) Actual tensor([1., 0.])
Predicted tensor([0.5676, 0.4324]) Actual tensor([0., 1.])
Predicted tensor([0.2005, 0.7984]) Actual tensor([0., 1.])
Predicted tensor([0.2674, 0.7326]) Actual tensor([0., 1.])
Predicted tensor([0.3202, 0.6796]) Actual tensor([0., 1.])
Predicted tensor([-0.0172,  1.0160]) Actual tensor([0., 1.])
Predicted tensor([0.1069, 0.8926]) Actual tensor([0., 1.])
Predicted tensor([ 1.3648, -0.3647]) Actual tensor([1., 0.])
Predicted tensor([0.1848, 0.8145]) Actual tensor([0., 1.])
Predicted tensor([0.1883, 0.8110]) Actual tensor([0., 1.])
Predicted tensor([0.0455, 0.9525]) Actual tensor([0., 1.])
Predicted tensor([0.2037, 0.7969]) Actual tensor([0., 1.])
Predicted tensor([0.8562, 0.1437]) Actual tensor([1., 0.])
Predicted tensor([0.6081, 0.3905]) Actual tensor([1., 0.])
Predicted tensor([0.0932, 0.9066]) Actual tensor([0., 1.])
Predicted tensor([0.4886, 0.5112]) Actual tensor([1., 0.])
Predicted tensor([0.0581, 0.9414]) Actual tensor([0., 1.])
Predicted tensor([-0.1501,  1.1489]) Actual tensor([0., 1.])
Predicted tensor([0.6066, 0.3934]) Actual tensor([1., 0.])
Predicted tensor([0.1738, 0.8254]) Actual tensor([0., 1.])
Predicted tensor([0.6674, 0.3337]) Actual tensor([1., 0.])
Predicted tensor([0.9557, 0.0443]) Actual tensor([1., 0.])
Predicted tensor([0.3520, 0.6482]) Actual tensor([0., 1.])
Predicted tensor([0.2139, 0.7857]) Actual tensor([0., 1.])
Predicted tensor([0.3452, 0.6556]) Actual tensor([1., 0.])
Predicted tensor([0.2364, 0.7638]) Actual tensor([0., 1.])
Predicted tensor([0.9270, 0.0732]) Actual tensor([0., 1.])
Predicted tensor([0.4039, 0.5954]) Actual tensor([1., 0.])
Predicted tensor([0.9087, 0.0911]) Actual tensor([1., 0.])
Predicted tensor([0.3618, 0.6380]) Actual tensor([0., 1.])
Predicted tensor([0.9353, 0.0647]) Actual tensor([1., 0.])
Predicted tensor([0.6579, 0.3417]) Actual tensor([1., 0.])
Predicted tensor([0.2320, 0.7680]) Actual tensor([0., 1.])
Predicted tensor([0.9614, 0.0387]) Actual tensor([1., 0.])
Predicted tensor([0.1707, 0.8295]) Actual tensor([0., 1.])
Predicted tensor([0.7373, 0.2628]) Actual tensor([1., 0.])
Predicted tensor([0.8887, 0.1114]) Actual tensor([1., 0.])
Predicted tensor([-0.0096,  1.0093]) Actual tensor([0., 1.])
Predicted tensor([0.0963, 0.9102]) Actual tensor([0., 1.])
Predicted tensor([0.0508, 0.9487]) Actual tensor([0., 1.])
Predicted tensor([0.2323, 0.7680]) Actual tensor([0., 1.])
Predicted tensor([0.2652, 0.7347]) Actual tensor([0., 1.])
Predicted tensor([0.9690, 0.0311]) Actual tensor([1., 0.])
Predicted tensor([-0.2870,  1.2860]) Actual tensor([0., 1.])
Predicted tensor([0.8355, 0.1646]) Actual tensor([1., 0.])
Predicted tensor([0.0403, 0.9605]) Actual tensor([0., 1.])
Predicted tensor([0.8614, 0.1382]) Actual tensor([1., 0.])
Predicted tensor([-0.1294,  1.1287]) Actual tensor([0., 1.])
Predicted tensor([0.5640, 0.4356]) Actual tensor([1., 0.])
Predicted tensor([0.2384, 0.7613]) Actual tensor([0., 1.])
Predicted tensor([0.3347, 0.6657]) Actual tensor([0., 1.])
Total loss: tensor(120.2249)
Erred on:  b kodaiña s guadaña &

Erred on:  b gertu s baptizo &

Erred on:  b bazka s pasto &

Erred on:  b loria s gloria &

Erred on:  b aingeru s escudero &

Erred on:  b jendalla s deliberar &

Erred on:  b koraza s sótano &

Erred on:  b errepikatu s arvejilla &

Erred on:  b estakura s obstáculo &

Erred on:  b ünbüdü s rmbudo &

Erred on:  b mantso s mostaza &

Erred on:  b jipoi s jubón &

Erred on:  b gareta s zarpa &

Erred on:  b feble s débil &

Erred on:  b maiz s repasar &

Erred on:  b bezilla s arvejilla &

Erred on:  b agilando s alambre &

Erred on:  b enbite s sábila &

Erred on:  b obeta s hospital &

Erred on:  b bestia s pabellón &

Erred on:  b subdiakono s duda &

Erred on:  b gutizia s dedal &

Erred on:  b abako s jarro &

Erred on:  b nafilhar s zahorí &

Erred on:  b bal s alabanza &

Erred on:  b siklo s vaho &

Erred on:  b kastor s bastón &

Erred on:  b subdiakono s colerina &

Erred on:  b marka s cruz &

Erred on:  b jünpürü s enebro &

Erred on:  b dantza s ducado &

Erred on:  b soslai s solo &

Erred on:  b bortitz s fuerte &

Erred on:  b trezeba s pesebre &

Erred on:  b erregela s orégano &

Erred on:  b ezkarpi s esparcir &

Erred on:  b txarro s jarro &

Erred on:  b txiko s estanco &

Erred on:  b bapo s guapo &

Erred on:  b gailiko s vallico &

Erred on:  b xahu s sano &

Erred on:  b betelu s agudo &

Erred on:  b errubi s ya &

Erred on:  b gambara s garrapata &

Erred on:  b dabantail s delantal &

Erred on:  b erregu s reina &

Erred on:  b ipuro s enebro &

Erred on:  b agrabiatu s alquitrán &

Erred on:  b garau s oratorio &

Erred on:  b aiuta s hiena &

Erred on:  b txinizta s hiniesta &

Erred on:  b bedeinkatu s tacón &

Erred on:  b ule s hule &

Erred on:  b parril s barril &

Erred on:  b estañu s estéreo &

Erred on:  b bukatu s acabar &

Erred on:  b garmu s vara &

Erred on:  b erdeiñu s desdeño &

Erred on:  b talo s paraíso &

Erred on:  b bultza s impulso &

Erred on:  b eliza s iglesia &

Erred on:  b zaurin s barra &

Erred on:  b estañu s elevado &

Erred on:  b mendu s juego &

Erred on:  b bazko s pascua &

Erred on:  b gatabut s obispo &

Erred on:  b maiorana s bajado &

Erred on:  b mantal s delantal &

Erred on:  b ütis s trenza &

[[210  42]
 [ 27 228]]
F1: 0.8685714285714287
(array([0.88607595, 0.84444444]), array([0.83333333, 0.89411765]), array([0.85889571, 0.86857143]), array([252, 255]))
252 255
237 270
438 507
Accuracy: 0.863905325443787
BASQUE RESULTS, NO PRETRAINING--------------------------------------
N 1 D_in 8906 H 100
Begin training...
Epoch  0 , loss: 0.6546700596809387
Epoch  4 , loss: 0.47543641924858093
Epoch  8 , loss: 0.524804413318634
Epoch  12 , loss: 0.48681092262268066
Epoch  16 , loss: 0.41943421959877014
Epoch  20 , loss: 0.50080806016922
Epoch  24 , loss: 0.46130555868148804
Epoch  28 , loss: 0.5144522190093994
Epoch  32 , loss: 0.4979774057865143
Epoch  36 , loss: 0.4510634243488312
Epoch  40 , loss: 0.43248462677001953
Epoch  44 , loss: 0.48831337690353394
Epoch  48 , loss: 0.45758602023124695
Epoch  52 , loss: 0.4519118368625641
Epoch  56 , loss: 0.5365332365036011
Epoch  60 , loss: 0.49739667773246765
Epoch  64 , loss: 0.5088065266609192
Epoch  68 , loss: 0.4815796911716461
Epoch  72 , loss: 0.5204474925994873
Epoch  76 , loss: 0.5460888743400574
Epoch  80 , loss: 0.4417245388031006
Epoch  84 , loss: 0.5102443695068359
Epoch  88 , loss: 0.47643792629241943
Epoch  92 , loss: 0.4750591218471527
Epoch  96 , loss: 0.47516384720802307
Epoch  100 , loss: 0.34570610523223877
Epoch  104 , loss: 0.49662309885025024
Epoch  108 , loss: 0.5422646999359131
Epoch  112 , loss: 0.3629804849624634
